Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,upper_f1,lower_f1,upper_f2,lower_f2,upper,lower,Speech Rate,stress_vowel,vowel_ind,stress,Delta F.50,Delta F.25,Delta F.75,F1.50_norm,F2.50_norm,F1.25_norm,F2.25_norm,F1.75_norm,F2.75_norm,Dur_ms,Dur_norm,Dur_log
p112,a,695.7909759669969,1139.95328248074,2667.2586210225536,689.324612028631,840.1831743428019,2738.685252086265,672.6653606345087,1108.588352717775,2626.355792716974,Male,CBAS,0.82,0.92,textgrids/cbas/p112.TextGrid,0.10000000000000007,0.71,1.14,bajo,False,False,b,x,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,0,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.7382455161280054,1.2095089307779774,0.7498787379944456,0.9139895594416684,0.7166865504088848,1.1811376188352083,100.00000000000007,154.5232741711716,4.605170185988092
p112,a,443.06288519660484,1309.1683970495296,2011.333639995089,520.9268992719003,1104.6693999456577,2083.767348651404,419.26171173146486,1494.0789729677415,1815.9714308179568,Male,CBAS,9.556,9.616,textgrids/cbas/p112.TextGrid,0.0600000000000005,9.436,10.246,bacterias,False,False,b,k,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.4700969107921361,1.3890489131956585,0.5666880291184895,1.2017097330886035,0.4466994251285857,1.5918558734236794,60.0000000000005,92.71396450270366,4.094344562222109
p112,a,478.5550241010074,1666.1976904533105,2364.429451638522,448.3293545498495,1780.1516705287304,2379.82977577845,479.31823197113806,1623.2356145141541,2359.9488746854345,Male,CBAS,9.976,10.036,textgrids/cbas/p112.TextGrid,0.05999999999999873,9.436,10.246,bacterias,False,False,j,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,1,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.5077546461020152,1.7678627870251935,0.4877131103825171,1.9365301410119151,0.5106862198098706,1.7294649035735017,59.99999999999873,92.71396450270093,4.094344562222079
p112,a,585.3484001847239,1228.0373952920215,2661.984488091103,568.0247017247883,1270.5646152310972,2630.829784999861,583.1799408320558,1281.4149236499754,2847.046821794662,Male,CBAS,13.701,13.741,textgrids/cbas/p112.TextGrid,0.03999999999999915,13.621,13.851,las,False,False,l,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,0,0,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.6210641510670739,1.3029676038150453,0.617923165728143,1.3821781111310738,0.621344942852914,1.3652744663511245,39.99999999999915,61.80930966846728,3.688879454113915
p112,a,670.2027946962593,1274.9637762477714,2512.335538365797,466.96024915993837,881.8381577729657,2259.366630886524,673.582029386045,1268.173802544189,2677.870754896452,Male,CBAS,13.851,13.901,textgrids/cbas/p112.TextGrid,0.049999999999998934,13.851,14.441,amigas,True,False,s,m,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.7110960405793476,1.352757255485291,0.5079806468872788,0.9593037493903852,0.7176632086461789,1.3511668075296546,49.999999999998934,77.2616370855841,3.9120230054281246
p112,a,478.6567905559377,1578.3606835980047,2307.3584636113765,475.0403538783967,1629.0551541816462,2337.642385561276,482.84081068867005,1559.6386921567364,2324.7274816523222,Male,CBAS,14.171,14.220999999999998,textgrids/cbas/p112.TextGrid,0.05000000000000071,13.851,14.441,amigas,False,False,G,s,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,1,stressed,942.4926542274492,919.2481091972724,938.576788207814,0.5078626219620643,1.6746662974172142,0.5167705531569955,1.7721604623198064,0.5144393263876054,1.661706012498799,50.00000000000071,77.26163708558684,3.91202300542816
p112,a,656.1557243078843,1020.41867485699,2572.2661373551496,645.4102521491409,872.5090575210236,2554.069990579899,654.7356812893604,1229.8913330711353,2568.321765504702,Male,CBAS,18.165,18.235,textgrids/cbas/p112.TextGrid,0.07000000000000027,18.055,18.545,valor,False,False,b,l,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,1,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6961918709549284,1.0826807723964873,0.7021066953433728,0.9491551288399566,0.6975835003756696,1.3103790212195403,70.00000000000027,108.16629191982045,4.248495242049363
p112,a,591.7839153232245,1303.5648476627046,2618.076381318827,538.9894115217446,1270.5730550432395,2621.113634334919,598.759252542843,1393.2523338704289,2599.032938910654,Male,CBAS,21.773000000000003,21.843000000000004,textgrids/cbas/p112.TextGrid,0.07000000000000027,21.643,22.373,zanahoria,False,False,s,n,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.6278923370583755,1.3831034563672246,0.5863372533802802,1.3821872923434777,0.6379438103153573,1.4844308439917901,70.00000000000027,108.16629191982045,4.248495242049363
p112,a,469.00166640661047,1564.9810230885778,2394.984925882049,460.7517470422888,1736.3784665097219,2399.552639759634,396.98524839223603,1487.2621038845841,2582.8091853282203,Male,CBAS,22.273000000000003,22.373,textgrids/cbas/p112.TextGrid,0.10000000000000142,21.643,22.373,zanahoria,False,True,j,sp,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,1,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.497618378565556,1.6604702605044444,0.5012267552496108,1.8889116541409081,0.4229651248357294,1.5845928884779574,100.00000000000142,154.52327417117368,4.605170185988106
p112,a,677.1105414995081,1071.8944259428185,2551.680524968659,651.1250229687206,1016.762511165791,2627.6580430394893,632.1418606352165,1133.151248821609,2486.369099485088,Male,CBAS,25.948,26.018,textgrids/cbas/p112.TextGrid,0.07000000000000027,25.848000000000006,26.608,valuación,False,False,b,l,786.5012766292012,410.6918855202422,1832.2541563224452,711.5070949068413,3053.600962350595,1908.4721928440692,1.5452327417117149,2,0,unstressed,942.4926542274492,919.2481091972724,938.576788207814,0.7184252720298687,1.1372973795975512,0.7083234835667069,1.106080611961957,0.6735110739764549,1.2073079827440965,70.00000000000027,108.16629191982045,4.248495242049363
